id_estudante,matricula,nome,id_curso,ano_ingresso,bairro,cidade,freq_media,total_reprovacoes,total_disciplinas,risco_evasao
1,2746317213,João Guilherme da Cruz,7,2024,Ponta Verde,Maceió,0.93,0,5,BAIXO
2,958682846,Ísis Borges,2,2022,Senador Nilo Coelho,Arapiraca,0.94,0,5,BAIXO
3,6831113321,Arthur Borges,5,2022,Jacintinho,Maceió,0.51,5,5,ALTO
4,939042955,Amanda Novais,5,2024,Rio Novo,Maceió,0.94,0,5,BAIXO
5,9443935785,Ísis Leão,5,2024,Pontal da Barra,Maceió,0.53,5,5,ALTO
6,5241752544,Lara Abreu,3,2026,São Jorge,Maceió,0.93,0,5,BAIXO
7,9275666116,Manuela da Mota,5,2022,Cruz das Almas,Maceió,0.94,0,5,BAIXO
8,667779376,Caleb Garcia,4,2026,Clima Bom,Maceió,0.88,0,5,BAIXO
9,4710360983,Augusto Siqueira,3,2023,Canaã,Maceió,0.92,0,5,BAIXO
10,8256195745,Yuri da Rocha,3,2024,Santa Lúcia,Maceió,0.92,0,5,BAIXO
11,7995970241,Evelyn Santos,7,2026,Feitosa,Maceió,0.77,0,5,MEDIO
12,298737106,Heloísa Vargas,7,2022,Ponta Grossa,Maceió,0.94,0,5,BAIXO
13,4728765136,Rafael Porto,4,2023,Jardim Petrópolis,Maceió,0.92,0,5,BAIXO
14,7877444318,Léo Fogaça,5,2023,Riacho Doce,Maceió,0.92,0,5,BAIXO
15,9489760430,Brayan Pereira,3,2025,Santo Amaro,Maceió,0.5,5,5,ALTO
16,2727210979,Isabelly Castro,4,2024,Chã de Bebedouro,Maceió,0.52,5,5,ALTO
17,6280359794,Henry Rodrigues,1,2026,Ipioca,Maceió,0.94,0,5,BAIXO
18,240251661,Levi Guerra,5,2026,Jatiúca,Maceió,0.77,1,5,MEDIO
19,1149938334,Levi Cunha,3,2023,Bebedouro,Maceió,0.91,0,5,BAIXO
20,7110054933,Natália Casa Grande,1,2023,Canaã,Maceió,0.56,5,5,ALTO
21,1137651678,Vitor Gabriel da Luz,2,2023,Pedro Sales de Barros,Olho d'Água das Flores,0.91,0,5,BAIXO
22,6801222128,Davi Miguel Moraes,7,2022,Ouro Preto,Maceió,0.63,5,5,ALTO
23,2119634399,Daniel Cassiano,6,2025,Santos Dumont,Maceió,0.94,0,5,BAIXO
24,2694860228,Mariana Peixoto,6,2023,Bom Parto,Maceió,0.76,3,5,MEDIO
25,4567816720,Nina Moura,1,2022,Porto de Vacas,Barra de São Miguel,0.56,5,5,ALTO
26,4047709743,Bruna Rodrigues,5,2022,Gruta de Lourdes,Maceió,0.9,0,5,BAIXO
27,7519962896,Manuela Camargo,3,2025,Fernão Velho,Maceió,0.55,5,5,ALTO
28,5555540744,Rafael Abreu,4,2025,Rio Novo,Maceió,0.78,0,5,MEDIO
29,9357238580,Kaique Porto,6,2022,Levada,Maceió,0.93,0,5,BAIXO
30,854316681,Vitor Hugo Vasconcelos,6,2026,Santa Amélia,Maceió,0.9,0,5,BAIXO
31,3944899549,Luna Mendonça,5,2022,Tabuleiro do Martins,Maceió,0.96,0,5,BAIXO
32,83651970,Isaque Araújo,3,2026,Bom Parto,Maceió,0.55,5,5,ALTO
33,338258951,Ana Lívia Teixeira,3,2026,Santo Amaro,Maceió,0.84,0,5,BAIXO
34,540137296,Olívia Novaes,4,2025,Trapiche da Barra,Maceió,0.93,0,5,BAIXO
35,5004182187,Mariana Cunha,1,2025,Santa Lúcia,Maceió,0.7,5,5,MEDIO
36,2962958940,Maria Liz Rios,2,2025,Fernão Velho,Maceió,0.78,0,5,MEDIO
