id_estudante,matricula,nome,id_curso,ano_ingresso,situacao,bairro,cidade
1,2746317213,João Guilherme da Cruz,2,2023,ATIVO,Barro Duro,Maceió
2,958682846,Ísis Borges,5,2022,ATIVO,Centro,Maceió
3,6831113321,Arthur Borges,2,2023,ATIVO,Bebedouro,Maceió
4,939042955,Amanda Novais,6,2026,ATIVO,Barro Duro,Maceió
5,9443935785,Ísis Leão,7,2022,ATIVO,Pajuçara,Maceió
6,5241752544,Lara Abreu,3,2024,ATIVO,Clima Bom,Maceió
7,9275666116,Manuela da Mota,1,2025,ATIVO,Trapiche da Barra,Maceió
8,667779376,Caleb Garcia,7,2022,ATIVO,Jardim Petrópolis,Maceió
9,4710360983,Augusto Siqueira,4,2022,ATIVO,Ponta da Terra,Maceió
10,8256195745,Yuri da Rocha,7,2024,ATIVO,Rio Novo,Maceió
11,7995970241,Evelyn Santos,6,2023,ATIVO,São Jorge,Maceió
12,298737106,Heloísa Vargas,7,2022,TRANCADO,Canaã,Maceió
13,4728765136,Rafael Porto,3,2023,ATIVO,Pescaria,Maceió
14,7877444318,Léo Fogaça,6,2022,ATIVO,Feitosa,Maceió
15,9489760430,Brayan Pereira,2,2023,ATIVO,Clima Bom,Maceió
16,2727210979,Isabelly Castro,6,2026,EVADIDO,Guaxuma,Maceió
17,6280359794,Henry Rodrigues,7,2022,TRANCADO,Jacintinho,Maceió
18,240251661,Levi Guerra,4,2024,TRANCADO,Bebedouro,Maceió
19,1149938334,Levi Cunha,3,2023,TRANCADO,Pontal da Barra,Maceió
20,7110054933,Natália Casa Grande,6,2025,TRANCADO,Mangabeiras,Maceió
21,1137651678,Vitor Gabriel da Luz,5,2026,ATIVO,Chã da Jaqueira,Maceió
22,6801222128,Davi Miguel Moraes,5,2025,ATIVO,Ponta Verde,Maceió
23,2119634399,Daniel Cassiano,1,2022,ATIVO,Chã da Jaqueira,Maceió
24,2694860228,Mariana Peixoto,7,2025,ATIVO,Cidade Universitária,Maceió
25,4567816720,Nina Moura,4,2026,ATIVO,Levada,Maceió
26,4047709743,Bruna Rodrigues,1,2022,TRANCADO,Ponta Grossa,Maceió
27,7519962896,Manuela Camargo,7,2024,ATIVO,Ponta da Terra,Maceió
28,5555540744,Rafael Abreu,1,2024,ATIVO,Ouro Preto,Maceió
29,9357238580,Kaique Porto,1,2024,ATIVO,Pedro Sales de Barros,Olho d'Água das Flores
30,854316681,Vitor Hugo Vasconcelos,2,2024,ATIVO,Pitanguinha,Maceió
31,3944899549,Luna Mendonça,5,2022,EVADIDO,Ponta da Terra,Maceió
32,83651970,Isaque Araújo,3,2024,ATIVO,Pinheiro,Maceió
33,338258951,Ana Lívia Teixeira,1,2022,TRANCADO,Garça Torta,Maceió
34,540137296,Olívia Novaes,5,2023,EVADIDO,Bom Parto,Maceió
35,5004182187,Mariana Cunha,2,2024,EVADIDO,Petrópolis,Maceió
