id_estudante,matricula,nome,id_curso,ano_ingresso,bairro,cidade,freq_media,total_reprovacoes,total_disciplinas,risco_evasao
1,2454155475,Rafaela Oliveira,3,2024,Ipioca,Maceió,0.92,0,5,BAIXO
2,63704871,Rebeca da Mota,4,2025,Cruz das Almas,Maceió,0.79,0,5,MEDIO
3,688180719,Rebeca Duarte,5,2026,Petrópolis,Maceió,0.74,2,5,MEDIO
4,326801271,Ana Clara Leão,4,2024,Pontal da Barra,Maceió,0.97,0,5,BAIXO
5,3694363523,Maria Garcia,3,2024,Ipioca,Maceió,0.7,4,5,MEDIO
6,6104282371,Julia Marques,7,2024,São Jorge,Maceió,0.75,1,5,MEDIO
7,9340139052,Luiz Miguel Carvalho,5,2026,Gruta de Lourdes,Maceió,0.93,0,5,BAIXO
8,1611656385,Alana da Costa,3,2022,Ipioca,Maceió,0.96,0,5,BAIXO
9,575407617,Vitor Gabriel Fonseca,4,2024,Jaraguá,Maceió,0.92,0,5,BAIXO
10,5326542329,Milena Lopes,3,2022,Santa Amélia,Maceió,0.68,5,5,MEDIO
11,2018522846,Lunna Montenegro,1,2022,São Jorge,Maceió,0.68,5,5,MEDIO
12,1773264063,Arthur Gabriel Monteiro,1,2025,Centro,Maceió,0.92,0,5,BAIXO
13,8899321570,Dom Gomes,2,2023,Jaraguá,Maceió,0.69,5,5,MEDIO
14,2582583383,Calebe Macedo,3,2024,Ipioca,Maceió,0.92,0,5,BAIXO
15,3467970294,Oliver Machado,5,2024,Jacintinho,Maceió,0.94,0,5,BAIXO
16,9644271206,Diego Pinto,4,2026,Ponta Verde,Maceió,0.74,3,5,MEDIO
17,2241358555,João Felipe Marques,3,2023,Serraria,Maceió,0.76,1,5,MEDIO
18,1299528385,Emanuella Vasconcelos,6,2024,Poço,Maceió,0.55,5,5,ALTO
19,5051265685,Pedro Henrique Câmara,7,2022,Riacho Doce,Maceió,0.73,4,5,MEDIO
20,8611446242,Luísa Dias,5,2023,Levada,Maceió,0.76,1,5,MEDIO
21,1042056481,Pietro Guerra,4,2024,Canaã,Maceió,0.94,0,5,BAIXO
22,2503317276,Sabrina Rocha,5,2022,Fernão Velho,Maceió,0.73,3,5,MEDIO
23,3837454326,Júlia Moreira,2,2022,Centro,Maceió,0.79,1,5,MEDIO
24,2146968301,Samuel Rocha,4,2022,Mangabeiras,Maceió,0.72,4,5,MEDIO
25,1722839737,Ágatha Pacheco,5,2024,Poço,Maceió,0.92,0,5,BAIXO
26,5960642670,Maysa Brito,2,2022,Pajuçara,Maceió,0.59,5,5,ALTO
27,4307123878,Ana Luiza Aragão,7,2023,Jaraguá,Maceió,0.83,0,5,MEDIO
28,1501683619,Cauê Pereira,7,2023,Antares,Maceió,0.91,0,5,BAIXO
29,2083296877,Maya Vasconcelos,7,2023,Pitanguinha,Maceió,0.86,0,5,BAIXO
30,6215193351,Natália Lima,6,2023,Santa Lúcia,Maceió,0.59,5,5,ALTO
31,2247939585,Luna Pinto,3,2023,Jatiúca,Maceió,0.92,0,5,BAIXO
32,8731237240,Rhavi Alves,2,2025,Santos Dumont,Maceió,0.72,4,5,MEDIO
33,3468567769,Pedro Henrique da Cruz,4,2024,Pitanguinha,Maceió,0.56,5,5,ALTO
34,7379794843,Augusto Peixoto,4,2022,Santa Amélia,Maceió,0.6,5,5,ALTO
35,4133386039,Enrico Rios,1,2024,Fernão Velho,Maceió,0.75,2,5,MEDIO
36,2050099710,Gael Ferreira,7,2025,Jatiúca,Maceió,0.91,0,5,BAIXO
37,784021141,Evelyn Lima,1,2025,Trapiche da Barra,Maceió,0.92,0,5,BAIXO
38,9002255431,Ravi Souza,7,2024,Pitanguinha,Maceió,0.92,0,5,BAIXO
39,7397971615,Giovanna da Mata,4,2022,Prado,Maceió,0.94,0,5,BAIXO
40,6861341724,André Costela,1,2026,Ouro Preto,Maceió,0.54,5,5,ALTO
41,857879948,Aurora Araújo,2,2022,Ipioca,Maceió,0.93,0,5,BAIXO
42,5789635201,Otávio Teixeira,4,2022,Pedro Sales de Barros,Olho d'Água das Flores,0.76,1,5,MEDIO
43,9421526480,Nina Sales,7,2024,Ponta da Terra,Maceió,0.74,4,5,MEDIO
44,9852661125,Sofia da Luz,4,2025,Senhor do Bonfim,Penedo,0.77,1,5,MEDIO
45,6032536087,Manuela Ferreira,2,2026,Ponta Verde,Maceió,0.94,0,5,BAIXO
46,7415460310,Melissa Mendes,6,2023,Santa Lúcia,Maceió,0.97,0,5,BAIXO
47,6816919141,Vitor Hugo Silveira,2,2023,São Jorge,Maceió,0.97,0,5,BAIXO
48,7396255210,Oliver Silveira,2,2023,Santo Amaro,Maceió,0.93,0,5,BAIXO
49,2423387050,Lorena Almeida,1,2026,Gruta de Lourdes,Maceió,0.78,1,5,MEDIO
50,6836610737,Luna Barbosa,5,2024,Trapiche da Barra,Maceió,0.7,5,5,MEDIO
51,7475141984,Maria Fernanda da Paz,6,2024,Benedito Bentes,Maceió,0.58,5,5,ALTO
52,2601636739,Enzo Gabriel das Neves,5,2022,Jardim Petrópolis,Maceió,0.76,1,5,MEDIO
53,8999903083,Henry Nunes,4,2024,Tabuleiro do Martins,Maceió,0.48,5,5,ALTO
54,3199375674,Evelyn Nunes,6,2024,Santo Amaro,Maceió,0.52,5,5,ALTO
55,4363893419,Lucca Oliveira,5,2026,Cruz das Almas,Maceió,0.62,5,5,ALTO
56,9409352945,Lunna Aragão,7,2026,Chã da Jaqueira,Maceió,0.9,0,5,BAIXO
57,2483596669,Luiz Otávio Gonçalves,1,2025,Serraria,Maceió,0.92,0,5,BAIXO
58,9983914200,Eloá Vargas,3,2026,Farol,Maceió,0.91,0,5,BAIXO
59,677469716,Manuella Cavalcante,5,2026,Riacho Doce,Maceió,0.95,0,5,BAIXO
60,8723674406,Sophia Ferreira,2,2025,Pinheiro,Maceió,0.76,2,5,MEDIO
61,4673813811,Marcela Araújo,1,2023,Farol,Maceió,0.94,0,5,BAIXO
62,8012533814,Milena Silveira,3,2022,Fernão Velho,Maceió,0.9,0,5,BAIXO
63,2594884963,Luigi Novais,1,2024,Cruz das Almas,Maceió,0.89,0,5,BAIXO
64,6497492469,Evelyn Brito,2,2022,Santo Amaro,Maceió,0.7,5,5,MEDIO
65,655235362,Gabriel Nunes,2,2022,Jatiúca,Maceió,0.93,0,5,BAIXO
66,8164529610,Maria Flor Aragão,4,2025,Fernão Velho,Maceió,0.91,0,5,BAIXO
67,2600194874,Leonardo Câmara,4,2025,Jardim Petrópolis,Maceió,0.52,5,5,ALTO
68,8802716051,Carlos Eduardo Porto,3,2025,Pajuçara,Maceió,0.73,3,5,MEDIO
69,6719728461,Kevin Aparecida,2,2022,Guaxuma,Maceió,0.51,5,5,ALTO
70,7573863755,Luiz Felipe Teixeira,3,2022,Ponta Verde,Maceió,0.92,0,5,BAIXO
71,5132189497,Enzo Gabriel Guerra,7,2025,Farol,Maceió,0.94,0,5,BAIXO
72,8432323302,Erick Cavalcanti,1,2025,Fernão Velho,Maceió,0.92,0,5,BAIXO
73,1806625335,Maria Júlia Brito,1,2023,Pitanguinha,Maceió,0.73,3,5,MEDIO
74,3492523279,Cauê Lima,2,2023,Vergel do Lago,Maceió,0.75,2,5,MEDIO
75,9924974810,Vitor Rezende,1,2026,Bom Parto,Maceió,0.9,0,5,BAIXO
76,4720471671,Olívia Pereira,1,2022,Piaçavas,Barra de São Miguel,0.64,5,5,ALTO
77,9640207080,Anthony Gabriel Rios,6,2022,São Cristóvão,Palmeira dos Índios,0.76,2,5,MEDIO
78,7202948917,Aylla Moraes,3,2024,Rio Novo,Maceió,0.93,0,5,BAIXO
79,2037128584,Maria Liz Pacheco,3,2025,Pontal da Barra,Maceió,0.96,0,5,BAIXO
80,5230610105,Gabriel Pinto,3,2025,Trapiche da Barra,Maceió,0.84,0,5,MEDIO
81,2281680368,Murilo Andrade,1,2026,Cruz das Almas,Maceió,0.87,0,5,BAIXO
82,8664182601,Maitê Cavalcanti,1,2023,São Jorge,Maceió,0.94,0,5,BAIXO
83,3122416491,Renan Viana,4,2022,Mutange,Maceió,0.55,5,5,ALTO
84,734844598,Davi Lucas da Rocha,5,2022,Gruta de Lourdes,Maceió,0.94,0,5,BAIXO
85,865625028,Matheus Pimenta,4,2026,Riacho Doce,Maceió,0.76,2,5,MEDIO
86,6852819665,Ana Cardoso,4,2022,Trapiche da Barra,Maceió,0.88,0,5,BAIXO
87,23458032,Benjamin Rodrigues,6,2024,Jaraguá,Maceió,0.77,2,5,MEDIO
88,4205410661,Matheus Azevedo,6,2026,Barro Duro,Maceió,0.58,5,5,ALTO
89,8652762829,Emilly Pinto,2,2026,Pedro Sales de Barros,Olho d'Água das Flores,0.59,5,5,ALTO
90,8795206056,Benjamim Sampaio,6,2026,Cidade Universitária,Maceió,0.53,5,5,ALTO
91,6266806553,Arthur Gabriel Guerra,3,2025,Fernão Velho,Maceió,0.55,5,5,ALTO
92,6989924079,Maria Clara Rios,3,2023,Barro Duro,Maceió,0.59,5,5,ALTO
93,303036759,José Cavalcanti,4,2023,Fernão Velho,Maceió,0.75,1,5,MEDIO
94,4686417180,Eduardo da Mota,4,2024,Pontal da Barra,Maceió,0.52,5,5,ALTO
95,6549391476,Cauã Nascimento,6,2026,Poço,Maceió,0.78,1,5,MEDIO
96,4812015836,Lívia Abreu,2,2025,Gruta de Lourdes,Maceió,0.88,0,5,BAIXO
97,6767978546,Stella Lima,6,2022,Santa Amélia,Maceió,0.75,2,5,MEDIO
98,9216723424,Benjamin Pereira,1,2023,Feitosa,Maceió,0.93,0,5,BAIXO
99,8849059890,Vitor Gabriel Albuquerque,4,2026,Trapiche da Barra,Maceió,0.74,3,5,MEDIO
100,918773189,Otto Cassiano,5,2025,Barro Duro,Maceió,0.92,0,5,BAIXO
101,3686920880,Rhavi da Rosa,2,2023,São Jorge,Maceió,0.94,0,5,BAIXO
102,1991549917,Cecília Alves,7,2023,Pescaria,Maceió,0.93,0,5,BAIXO
103,4956422582,Emanuelly Fernandes,4,2025,Riacho Doce,Maceió,0.94,0,5,BAIXO
104,2015744244,Samuel Pastor,6,2026,Pitanguinha,Maceió,0.81,0,5,MEDIO
105,1672334779,Kamilly Cunha,6,2025,Farol,Maceió,0.91,0,5,BAIXO
106,1630515038,Luiza Sousa,1,2025,Santa Lúcia,Maceió,0.75,3,5,MEDIO
107,8325959791,Benjamin Marques,7,2022,Chã de Bebedouro,Maceió,0.93,0,5,BAIXO
108,8818914655,Mateus Pimenta,1,2025,Clima Bom,Maceió,0.91,0,5,BAIXO
109,3379968393,Ana Carolina Cardoso,5,2026,Petrópolis,Maceió,0.6,5,5,ALTO
110,5867320553,Rhavi Nunes,7,2023,Ponta Grossa,Maceió,0.82,0,5,BAIXO
111,389095979,Luiz Otávio Marques,2,2024,Ponta Verde,Maceió,0.73,3,5,MEDIO
112,6132137710,Davi Lucas Teixeira,1,2022,Ipioca,Maceió,0.9,0,5,BAIXO
113,7001765296,Ágatha Correia,3,2026,Canaã,Maceió,0.55,5,5,ALTO
114,3202543214,Maria Helena Cunha,7,2023,Levada,Maceió,0.89,0,5,BAIXO
115,6864371216,Maria Isis Viana,5,2022,Antares,Maceió,0.79,0,5,MEDIO
116,4121107606,Vitor Gabriel Siqueira,6,2023,Fernão Velho,Maceió,0.8,1,5,MEDIO
117,3218504770,Zoe Cardoso,4,2023,Santo Amaro,Maceió,0.77,0,5,MEDIO
118,8896780026,Mirella Borges,5,2023,Poço,Maceió,0.95,0,5,BAIXO
119,4345548035,Enzo Gabriel Fonseca,7,2024,Farol,Maceió,0.9,0,5,BAIXO
120,892480609,José Pedro Cassiano,7,2026,São Jorge,Maceió,0.49,5,5,ALTO
121,4550730361,Maria Alice Fernandes,1,2025,Pedro Sales de Barros,Olho d'Água das Flores,0.76,2,5,MEDIO
122,4316054789,Laís Montenegro,6,2022,Levada,Maceió,0.74,3,5,MEDIO
123,2527151915,Larissa Marques,5,2025,Chã da Jaqueira,Maceió,0.92,0,5,BAIXO
124,3542029525,Mariane Borges,6,2022,Ipioca,Maceió,0.54,5,5,ALTO
125,4813254248,Brayan Garcia,4,2022,Pescaria,Maceió,0.88,0,5,BAIXO
126,2281876134,Vicente Silveira,1,2022,Jatiúca,Maceió,0.81,0,5,MEDIO
127,6660390151,Rafaela Barros,3,2025,Bebedouro,Maceió,0.64,5,5,ALTO
128,5243050155,Pedro Miguel Marques,5,2025,Farol,Maceió,0.94,0,5,BAIXO
129,7351598800,Letícia Novais,3,2024,Antares,Maceió,0.94,0,5,BAIXO
130,2821385556,Eloah da Conceição,6,2023,Barro Duro,Maceió,0.96,0,5,BAIXO
131,6323643348,Nina Guerra,4,2022,Cruz das Almas,Maceió,0.87,0,5,BAIXO
132,8198639959,Alícia Montenegro,5,2023,Jardim Petrópolis,Maceió,0.71,4,5,MEDIO
133,6633338407,Nicole da Rosa,3,2022,Rio Novo,Maceió,0.85,0,5,BAIXO
134,789139661,Marcelo Pereira,5,2023,Gruta de Lourdes,Maceió,0.74,3,5,MEDIO
135,9279759633,Vitor Hugo Nunes,5,2023,Gruta de Lourdes,Maceió,0.69,5,5,MEDIO
136,3681854180,Enzo Leão,3,2022,Antares,Maceió,0.9,0,5,BAIXO
137,1320919523,Arthur Cavalcante,3,2026,Santos Dumont,Maceió,0.91,0,5,BAIXO
138,6300548647,Thiago da Cruz,4,2026,Santa Luzia,Penedo,0.51,5,5,ALTO
139,152932966,Samuel Marques,3,2026,Antares,Maceió,0.94,0,5,BAIXO
140,7607490834,Otto Pires,7,2026,Bom Parto,Maceió,0.92,0,5,BAIXO
141,7216490580,Antony Cassiano,5,2023,Poço,Maceió,0.59,5,5,ALTO
142,1098742143,Isaque Camargo,4,2024,Cruz das Almas,Maceió,0.76,1,5,MEDIO
143,7585467371,Yuri Lima,7,2022,Cruz das Almas,Maceió,0.9,0,5,BAIXO
144,7292542249,Laís Lima,5,2025,Tabuleiro do Martins,Maceió,0.69,5,5,MEDIO
145,242470051,Maria Cecília Mendonça,7,2023,Cruz das Almas,Maceió,0.78,1,5,MEDIO
146,7415367446,Maria Alice Azevedo,3,2022,Jatiúca,Maceió,0.93,0,5,BAIXO
147,9267317010,Yan Sá,6,2022,Santo Antônio,Penedo,0.48,5,5,ALTO
